basin_id	lon_cen	lat_cen
1568000	-77.40676	40.3193
2450250	-87.43027	34.34126
4185000	-84.34039	41.74268
14166500	-123.45066	44.10252
1031500	-69.58119	45.23568
4122200	-85.97828	43.57678
5444000	-89.66494	42.01625
3366500	-85.47663	38.87915
4045500	-85.35636	46.36934
5495000	-92.1206	40.62587
1440000	-74.79817	41.21119
4127918	-84.80878	46.25035
5503800	-92.13309	39.66386
5507600	-91.66963	39.3216
4057510	-86.71963	46.11331
5508805	-91.46657	39.41802
2074500	-79.60934	36.6951
5466500	-90.44661	41.25057
5556500	-89.29558	41.55567
5525500	-87.69909	40.56901
1664000	-78.06367	38.676159999999996
5501000	-91.85982	39.818690000000004
1057000	-70.60039	44.3434
5495500	-91.19345	40.20244
1666500	-78.24173	38.43387
1639500	-77.05279	39.6456
5584500	-90.88143	40.49562
7261000	-92.25418	35.41851
5593900	-89.32379	39.24096
2128000	-79.83953	35.52624
2077200	-79.22655	36.3001
1667500	-78.2687	38.35774
2064000	-78.97491	37.249359999999996
5592050	-88.88066	39.473259999999996
2125000	-80.35288	35.39405
1644000	-77.80391	38.99276
1451800	-75.68416	40.6604
2221525	-83.63598	33.35787
1580000	-76.53141	39.693000000000005
3346000	-87.91749	39.264379999999996
2065500	-78.76502	37.21614
3384450	-88.52769	37.53076
8194200	-99.10959	27.75367
2212600	-83.71004	33.172109999999996
1583500	-76.76289	39.532959999999996
1638480	-77.67379	39.2006
5593575	-89.3658	38.38621
5595730	-89.10923	38.33481
12035000	-123.46073	47.22589
12010000	-123.6762	46.460809999999995
2464000	-87.61254	33.65248
8109700	-97.11498	30.413590000000003
2081500	-78.71923	36.30158
7291000	-90.71334	31.650029999999997
2342933	-85.41945	32.0259
2371500	-85.98757	31.86585
2472000	-89.44991	32.04441
2372250	-86.26075	31.85455
2361000	-85.4648	31.5878
2349900	-83.83836	32.24049
2472500	-89.65944	31.586779999999997
2051500	-78.21324	36.86531
8175000	-97.66095	29.31199
2374500	-87.04522	31.54226
7346045	-94.52671	33.01187
8164300	-96.91521	29.64917
1022500	-68.07313	44.79691
8176900	-97.44086	28.95212
8023080	-93.85781	32.04207
8066200	-94.90495	30.83703
2046000	-77.73643	37.09514
8070000	-95.29394	30.58203
7362100	-92.98727	33.38465
2082950	-77.94634	36.34491
2469800	-87.90436	31.810579999999998
8013000	-92.94477	31.225620000000003
2369800	-86.66848	31.08605
2479155	-89.00637	31.098259999999996
8066300	-94.77758	30.604940000000003
8189500	-97.6094	28.51445
2479300	-89.16585	30.867890000000003
2479560	-88.38732	31.15039
2481510	-89.41421	30.76983
8014500	-92.98258	30.944770000000002
7375000	-90.26352	30.77443
2481000	-89.20747	30.68013
2245500	-81.87821	29.90454
2231000	-82.25822	30.392259999999997
8164600	-96.96964	28.95038
2202600	-81.63132	32.27786
2246000	-81.96393	30.14773
2299950	-82.14564	27.547620000000002
2108000	-77.93157	35.03089
2296500	-81.62867	27.46053
2297310	-82.00091	27.40028
2053200	-77.24109	36.360820000000004
2298608	-82.13156	27.40547
2092500	-77.59285	35.04197
2298123	-81.64642	27.115579999999998
1491000	-75.70663	39.07677
9352900	-107.53186	37.59993
1487000	-75.56216	38.8002
